Citrobacter	diversus		30:276 (AL)	species (AL), rejected name, heterotypic syn.	(Burkey 1928) Werkman and Gillen 1932	opinion 67, IJSB 43:392*	2	ATCC 27156, CIP 82.94, DSM 4570	774745	774752
Clostridium	putrificum		30:282 (AL)	species (AL), rejected name	(Trevisan 1889) Reddish and Rettger 1922	<i>nomen periculosum</i>, Opinion 69; IJSB 45:339	2	ATCC 25784, DSM 1734, NCIB 10677	774963	774963
Halomonas	variabilis		46:556*	comb. nov. (VP), rejected name, homotypic syn.	(Fendrich 1989) Dobson and Franzmann 1996	rejection: (Opinion 93., Judicial Commission of the International Committee on Systematics of Prokaryotes, IJSEM 64:3588-3589)	1	DSM 3051, III	776789	776833
Methanosaeta	thermophila		42:465*	comb. nov. (VP), rejected name	(Kamagata et al. 1992) Boone and Kamagata 1998	The name has been placed on the Lists of Rejected Names (<i>nomina rejicienda</i>). Supplementary information to Opinion 75, Judicial Commission of the International Committee on Systematics of Prokaryotes, IJSEM 64:3597-3598*)	1	PT, DSM 6194, NBRC 101360	787452	777956
Methanosarcina	methanica		30:318 (AL)	species (AL), rejected name	(Smit 1930) Kluyver and van Niel 1936	rejected name, <i>nomen dubium et confusum</i> Opinion IJSB 36:492*, see also IJSB 36:357*	1	not cultivated	784218	784218
Methanothrix	thermophila		42:465*	sp. nov. (VP), rejected name, homotypic syn.	Kamagata et al. 1992	The name has been placed on the Lists of Rejected Names (<i>nomina rejicienda</i>). Supplementary information to Opinion 75, Judicial Commission of the International Committee on Systematics of Prokaryotes, IJSEM 64:3597-3598*)	1	DSM 6194, PT	777957	777956
Pasteurella	gallicida		30:340 (AL)	species (AL), rejected name, homotypic syn.	(Burrill 1883) Buchanan 1925	rejected name IJSB 35:538*	2	NCTC 10322, DSM 16031	784582	779182
Pelczaria			44:182	gen. nov. (VL), rejected name	Poston 1994	incertae sedis 10			516278	
Pelczaria	aurantia		44:182	sp. nov. (VL), rejected name	Poston 1994		1	ATCC 49321, DSM 12801	779237	779237
Rhizomonas			40:186*	gen. nov. (VP), rejected name	van Bruggen et al. 1990	illegitimate genus name, later homonym of a protozoan genus <I>Rhizomonas</I>			516468	518520
